arauna_dex,full_name,engine_name,species_constant,national_slot,graphics_folder,types,production_method
197,Rochão,Rochão,SPECIES_SKIPLOOM,NATIONAL_DEX_UMBREON,skiploom,rock,reference-front-plus-reconstructed-back
198,Cristalim,Cristalim,SPECIES_JUMPLUFF,NATIONAL_DEX_MURKROW,jumpluff,rock/fairy,reference-front-plus-reconstructed-back
199,Ametista,Ametista,SPECIES_AIPOM,NATIONAL_DEX_SLOWKING,aipom,rock/psychic,reference-front-plus-reconstructed-back
200,Ouríço,Ouríço,SPECIES_SUNKERN,NATIONAL_DEX_MISDREAVUS,sunkern,steel/electric,reference-front-plus-reconstructed-back
201,Ferrolho,Ferrolho,SPECIES_SUNFLORA,NATIONAL_DEX_UNOWN,sunflora,steel/ground,reference-front-plus-reconstructed-back
202,Diamantina,Diamantina,SPECIES_YANMA,NATIONAL_DEX_WOBBUFFET,yanma,rock/fairy,reference-front-plus-reconstructed-back
203,Bauxito,Bauxito,SPECIES_WOOPER,NATIONAL_DEX_GIRAFARIG,wooper,steel/ground,reference-front-plus-reconstructed-back
204,Manganim,Manganim,SPECIES_QUAGSIRE,NATIONAL_DEX_PINECO,quagsire,steel/dark,reference-front-plus-reconstructed-back
205,Salitre,Salitre,SPECIES_ESPEON,NATIONAL_DEX_FORRETRESS,espeon,rock/water,reference-front-plus-reconstructed-back
206,Enxofrino,Enxofrino,SPECIES_UMBREON,NATIONAL_DEX_DUNSPARCE,umbreon,fire/poison,reference-front-plus-reconstructed-back
207,Argilim,Argilim,SPECIES_MURKROW,NATIONAL_DEX_GLIGAR,murkrow,ground,reference-front-plus-reconstructed-back
208,Boneco,Boneco,SPECIES_SLOWKING,NATIONAL_DEX_STEELIX,slowking,ground/psychic,reference-front-plus-reconstructed-back
209,Estalactite,Estalactite,SPECIES_MISDREAVUS,NATIONAL_DEX_SNUBBULL,misdreavus,rock/water,reference-front-plus-reconstructed-back
210,Estalagmite,Estalagmite,SPECIES_UNOWN,NATIONAL_DEX_GRANBULL,unown,rock/ground,reference-front-plus-reconstructed-back
211,Fóssil,Fóssil,SPECIES_WOBBUFFET,NATIONAL_DEX_QWILFISH,wobbuffet,rock/dragon,reference-front-plus-reconstructed-back
212,Meteorito,Meteorito,SPECIES_GIRAFARIG,NATIONAL_DEX_SCIZOR,girafarig,rock/psychic,reference-front-plus-reconstructed-back
213,Vulcanite,Vulcanite,SPECIES_PINECO,NATIONAL_DEX_SHUCKLE,pineco,fire/rock,reference-front-plus-reconstructed-back
214,Marmim,Marmim,SPECIES_FORRETRESS,NATIONAL_DEX_HERACROSS,forretress,rock/fairy,reference-front-plus-reconstructed-back
215,Granito,Granito,SPECIES_DUNSPARCE,NATIONAL_DEX_SNEASEL,dunsparce,rock/fighting,reference-front-plus-reconstructed-back
216,Caranguim,Caranguim,SPECIES_GLIGAR,NATIONAL_DEX_TEDDIURSA,gligar,water,reference-front-plus-reconstructed-back
217,Guaiamum,Guaiamum,SPECIES_STEELIX,NATIONAL_DEX_URSARING,steelix,water/ground,reference-front-plus-reconstructed-back
218,Siri,Siri,SPECIES_SNUBBULL,NATIONAL_DEX_SLUGMA,snubbull,water/fighting,reference-front-plus-reconstructed-back
219,Camarão,Camarão,SPECIES_GRANBULL,NATIONAL_DEX_MAGCARGO,granbull,water,reference-front-plus-reconstructed-back
220,Polvim,Polvim,SPECIES_QWILFISH,NATIONAL_DEX_SWINUB,qwilfish,water/psychic,reference-front-plus-reconstructed-back
221,Polvão,Polvão,SPECIES_SCIZOR,NATIONAL_DEX_PILOSWINE,scizor,water/psychic,reference-front-plus-reconstructed-back
222,Águaviva,Águaviva,SPECIES_SHUCKLE,NATIONAL_DEX_CORSOLA,shuckle,water/poison,reference-front-plus-reconstructed-back
223,Cavalim-Marinho,CavalMarinho,SPECIES_HERACROSS,NATIONAL_DEX_REMORAID,heracross,water/fairy,reference-front-plus-reconstructed-back
224,Tartaruguim,Tartaruguim,SPECIES_SNEASEL,NATIONAL_DEX_OCTILLERY,sneasel,water,reference-front-plus-reconstructed-back
225,Tartaruga,Tartaruga,SPECIES_TEDDIURSA,NATIONAL_DEX_DELIBIRD,teddiursa,water/rock,reference-front-plus-reconstructed-back
226,Golfinho,Golfinho,SPECIES_URSARING,NATIONAL_DEX_MANTINE,ursaring,water/psychic,reference-front-plus-reconstructed-back
227,Baleia,Baleia,SPECIES_SLUGMA,NATIONAL_DEX_SKARMORY,slugma,water/normal,reference-front-plus-reconstructed-back
228,Tubarim,Tubarim,SPECIES_MAGCARGO,NATIONAL_DEX_HOUNDOUR,magcargo,water/dark,reference-front-plus-reconstructed-back
229,Tubarão,Tubarão,SPECIES_SWINUB,NATIONAL_DEX_HOUNDOOM,swinub,water/dark,reference-front-plus-reconstructed-back
230,Arraia,Arraia,SPECIES_PILOSWINE,NATIONAL_DEX_KINGDRA,piloswine,water/electric,reference-front-plus-reconstructed-back
231,Peixe-Espada,Peixe-Espada,SPECIES_CORSOLA,NATIONAL_DEX_PHANPY,corsola,water/steel,reference-front-plus-reconstructed-back
232,Pargo,Pargo,SPECIES_REMORAID,NATIONAL_DEX_DONPHAN,remoraid,water/fire,reference-front-plus-reconstructed-back
233,Pescadão,Pescadão,SPECIES_OCTILLERY,NATIONAL_DEX_PORYGON2,octillery,water/dark,reference-front-plus-reconstructed-back
234,Loirinha,Loirinha,SPECIES_DELIBIRD,NATIONAL_DEX_STANTLER,delibird,ghost/fairy,reference-front-plus-reconstructed-back
235,Cuca,Cuca,SPECIES_MANTINE,NATIONAL_DEX_SMEARGLE,mantine,dark/psychic,reference-front-plus-reconstructed-back
236,Bicho-Papão,Bicho-Papão,SPECIES_SKARMORY,NATIONAL_DEX_TYROGUE,skarmory,dark/ghost,reference-front-plus-reconstructed-back
237,Lobisomem,Lobisomem,SPECIES_HOUNDOUR,NATIONAL_DEX_HITMONTOP,houndour,dark/normal,reference-front-plus-reconstructed-back
238,Corpo-Seco,Corpo-Seco,SPECIES_HOUNDOOM,NATIONAL_DEX_SMOOCHUM,houndoom,ghost/dark,reference-front-plus-reconstructed-back
239,Mão-Peluda,Mão-Peluda,SPECIES_KINGDRA,NATIONAL_DEX_ELEKID,kingdra,ghost/fighting,reference-front-plus-reconstructed-back
240,Perna-Cabeluda,PernaCabelda,SPECIES_PHANPY,NATIONAL_DEX_MAGBY,phanpy,ghost/normal,reference-front-plus-reconstructed-back
241,Comadre,Comadre,SPECIES_DONPHAN,NATIONAL_DEX_MILTANK,donphan,ghost/fairy,reference-front-plus-reconstructed-back
242,Anhangá,Anhangá,SPECIES_PORYGON2,NATIONAL_DEX_BLISSEY,porygon2,ghost/grass,reference-front-plus-reconstructed-back
243,Jurupari,Jurupari,SPECIES_STANTLER,NATIONAL_DEX_RAIKOU,stantler,dark/fairy,reference-front-plus-reconstructed-back
244,Tupã,Tupã,SPECIES_SMEARGLE,NATIONAL_DEX_ENTEI,smeargle,electric/dragon,reference-front-plus-reconstructed-back
245,Jaci,Jaci,SPECIES_TYROGUE,NATIONAL_DEX_SUICUNE,tyrogue,fairy/psychic,reference-front-plus-reconstructed-back
246,Guaraci,Guaraci,SPECIES_HITMONTOP,NATIONAL_DEX_LARVITAR,hitmontop,fire/fairy,reference-front-plus-reconstructed-back
247,Rudá,Rudá,SPECIES_SMOOCHUM,NATIONAL_DEX_PUPITAR,smoochum,fairy/psychic,reference-front-plus-reconstructed-back
248,Aluá,Aluá,SPECIES_ELEKID,NATIONAL_DEX_TYRANITAR,elekid,water/poison,reference-front-plus-reconstructed-back
249,Jenipapo,Jenipapo,SPECIES_MAGBY,NATIONAL_DEX_LUGIA,magby,dark/grass,reference-front-plus-reconstructed-back
250,Urucum,Urucum,SPECIES_MILTANK,NATIONAL_DEX_HO_OH,miltank,fire/grass,reference-front-plus-reconstructed-back
251,Caipora,Caipora,SPECIES_BLISSEY,NATIONAL_DEX_CELEBI,blissey,grass/fighting,reference-front-plus-reconstructed-back
252,Anhangá-Pitã,Anhangá-Pitã,SPECIES_RAIKOU,NATIONAL_DEX_TREECKO,raikou,ghost/fire,reference-front-plus-reconstructed-back
253,Yara-Pindá,Yara-Pindá,SPECIES_ENTEI,NATIONAL_DEX_GROVYLE,entei,water/fairy,reference-front-plus-reconstructed-back
254,Pisadeira,Pisadeira,SPECIES_SUICUNE,NATIONAL_DEX_SCEPTILE,suicune,ghost/fighting,reference-front-plus-reconstructed-back
255,Zumbi,Zumbi,SPECIES_LARVITAR,NATIONAL_DEX_TORCHIC,larvitar,ghost/fighting,reference-front-plus-reconstructed-back
256,Iemanjá-Pequena,Iemanjá-Pq,SPECIES_PUPITAR,NATIONAL_DEX_COMBUSKEN,pupitar,water/fairy,reference-front-plus-reconstructed-back
257,Ossanha,Ossanha,SPECIES_TYRANITAR,NATIONAL_DEX_BLAZIKEN,tyranitar,grass/fairy,reference-front-plus-reconstructed-back
258,Oxalá,Oxalá,SPECIES_LUGIA,NATIONAL_DEX_MUDKIP,lugia,normal/fairy,reference-front-plus-reconstructed-back
259,Saciamigo,Saciamigo,SPECIES_HO_OH,NATIONAL_DEX_MARSHTOMP,ho_oh,dark/fairy,reference-front-plus-reconstructed-back
260,Sacipererê,Sacipererê,SPECIES_CELEBI,NATIONAL_DEX_SWAMPERT,celebi,dark/fairy,reference-front-plus-reconstructed-back
261,Curupira-Ancião,CurupAncião,SPECIES_POOCHYENA,NATIONAL_DEX_POOCHYENA,poochyena,grass/fairy,reference-front-plus-reconstructed-back
262,Caipora-Fêmea,CaiporaFêm,SPECIES_MIGHTYENA,NATIONAL_DEX_MIGHTYENA,mightyena,grass/fighting,reference-front-plus-reconstructed-back
263,Pomba-Gira,Pomba-Gira,SPECIES_ZIGZAGOON,NATIONAL_DEX_ZIGZAGOON,zigzagoon,dark/fairy,reference-front-plus-reconstructed-back
264,Exu,Exu,SPECIES_LINOONE,NATIONAL_DEX_LINOONE,linoone,dark/fighting,reference-front-plus-reconstructed-back
265,Preto-Velho,Preto-Velho,SPECIES_WURMPLE,NATIONAL_DEX_WURMPLE,wurmple,ghost/psychic,reference-front-plus-reconstructed-back
266,Caboclo-Guerreiro,CabocGuerro,SPECIES_SILCOON,NATIONAL_DEX_SILCOON,silcoon,grass/fighting,reference-front-plus-reconstructed-back
267,Marinheiro,Marinheiro,SPECIES_BEAUTIFLY,NATIONAL_DEX_BEAUTIFLY,beautifly,water/dark,reference-front-plus-reconstructed-back
268,Baiano,Baiano,SPECIES_CASCOON,NATIONAL_DEX_CASCOON,cascoon,fire/fighting,reference-front-plus-reconstructed-back
269,Cangaceiro,Cangaceiro,SPECIES_DUSTOX,NATIONAL_DEX_DUSTOX,dustox,dark/fighting,reference-front-plus-reconstructed-back
270,Beata,Beata,SPECIES_LOTAD,NATIONAL_DEX_LOTAD,lotad,fairy/psychic,reference-front-plus-reconstructed-back
271,Menino-Deus,Menino-Deus,SPECIES_LOMBRE,NATIONAL_DEX_LOMBRE,lombre,fairy/normal,reference-front-plus-reconstructed-back
272,Rei-Momo,Rei-Momo,SPECIES_LUDICOLO,NATIONAL_DEX_LUDICOLO,ludicolo,normal/fire,reference-front-plus-reconstructed-back
273,Bumba-Meu-Boi,BumbaMeuBoi,SPECIES_SEEDOT,NATIONAL_DEX_SEEDOT,seedot,normal/fire,reference-front-plus-reconstructed-back
274,Reisado,Reisado,SPECIES_NUZLEAF,NATIONAL_DEX_NUZLEAF,nuzleaf,fairy/normal,reference-front-plus-reconstructed-back
275,Frevinho,Frevinho,SPECIES_SHIFTRY,NATIONAL_DEX_SHIFTRY,shiftry,fighting/fire,reference-front-plus-reconstructed-back
276,Maracatu,Maracatu,SPECIES_TAILLOW,NATIONAL_DEX_TAILLOW,taillow,dark/fairy,reference-front-plus-reconstructed-back
277,Congada,Congada,SPECIES_SWELLOW,NATIONAL_DEX_SWELLOW,swellow,fighting/fire,reference-front-plus-reconstructed-back
278,Folião,Folião,SPECIES_WINGULL,NATIONAL_DEX_WINGULL,wingull,normal/fairy,reference-front-plus-reconstructed-back
279,Onçuma,Onçuma,SPECIES_PELIPPER,NATIONAL_DEX_PELIPPER,pelipper,dark/ghost,reference-front-plus-reconstructed-back
280,Sucuriaçu,Sucuriaçu,SPECIES_RALTS,NATIONAL_DEX_RALTS,ralts,water/dragon,reference-front-plus-reconstructed-back
281,Pirarumbá,Pirarumbá,SPECIES_KIRLIA,NATIONAL_DEX_KIRLIA,kirlia,water/dragon,reference-front-plus-reconstructed-back
282,Draguará-Alfa,DraguaráAlfa,SPECIES_GARDEVOIR,NATIONAL_DEX_GARDEVOIR,gardevoir,fire/dragon,reference-front-plus-reconstructed-back
283,Terolibra-Rainha,TerolRainha,SPECIES_SURSKIT,NATIONAL_DEX_SURSKIT,surskit,water/bug,reference-front-plus-reconstructed-back
284,Petropico-Ancião,PetropAncião,SPECIES_MASQUERAIN,NATIONAL_DEX_MASQUERAIN,masquerain,grass/rock,reference-front-plus-reconstructed-back
285,Boitatá-Puro,Boitatá-Puro,SPECIES_SHROOMISH,NATIONAL_DEX_SHROOMISH,shroomish,fire/dragon,reference-front-plus-reconstructed-back
286,Iara-Mãe,Iara-Mãe,SPECIES_BRELOOM,NATIONAL_DEX_BRELOOM,breloom,water/fairy,reference-front-plus-reconstructed-back
287,Curupira-Rei,Curupira-Rei,SPECIES_SLAKOTH,NATIONAL_DEX_SLAKOTH,slakoth,grass/fairy,reference-front-plus-reconstructed-back
288,Saci-Rei,Saci-Rei,SPECIES_VIGOROTH,NATIONAL_DEX_VIGOROTH,vigoroth,dark/fairy,reference-front-plus-reconstructed-back
289,Anhangaú,Anhangaú,SPECIES_SLAKING,NATIONAL_DEX_SLAKING,slaking,ghost/grass,reference-front-plus-reconstructed-back
290,Muirá-Kytã,Muirá-Kytã,SPECIES_NINCADA,NATIONAL_DEX_NINCADA,nincada,grass/fairy,reference-front-plus-reconstructed-back
291,Cobra-Norato,Cobra-Norato,SPECIES_NINJASK,NATIONAL_DEX_NINJASK,ninjask,water/dragon,reference-front-plus-reconstructed-back
292,Mapinguari,Mapinguari,SPECIES_SHEDINJA,NATIONAL_DEX_SHEDINJA,shedinja,grass/fighting,reference-front-plus-reconstructed-back
293,Ipupiara,Ipupiara,SPECIES_WHISMUR,NATIONAL_DEX_WHISMUR,whismur,water/dark,reference-front-plus-reconstructed-back
294,Uirapuru,Uirapuru,SPECIES_LOUDRED,NATIONAL_DEX_LOUDRED,loudred,flying/fairy,reference-front-plus-reconstructed-back
295,Muiraquitã,Muiraquitã,SPECIES_EXPLOUD,NATIONAL_DEX_EXPLOUD,exploud,rock/fairy,reference-front-plus-reconstructed-back
296,Amazona,Amazona,SPECIES_MAKUHITA,NATIONAL_DEX_MAKUHITA,makuhita,fighting/fairy,reference-front-plus-reconstructed-back
297,Corcovado-Ancião,CorcovAncião,SPECIES_HARIYAMA,NATIONAL_DEX_HARIYAMA,hariyama,rock/dragon,reference-front-plus-reconstructed-back
298,Cristo,Cristo,SPECIES_AZURILL,NATIONAL_DEX_AZURILL,azurill,fairy/psychic,reference-front-plus-reconstructed-back
299,Ratão,Ratão,SPECIES_NOSEPASS,NATIONAL_DEX_NOSEPASS,nosepass,dark/poison,reference-front-plus-reconstructed-back
300,Pombim,Pombim,SPECIES_SKITTY,NATIONAL_DEX_SKITTY,skitty,flying/normal,reference-front-plus-reconstructed-back
301,Pombão,Pombão,SPECIES_DELCATTY,NATIONAL_DEX_DELCATTY,delcatty,flying/poison,reference-front-plus-reconstructed-back
302,Baratão,Baratão,SPECIES_SABLEYE,NATIONAL_DEX_SABLEYE,sableye,bug/flying,reference-front-plus-reconstructed-back
303,Mosquim,Mosquim,SPECIES_MAWILE,NATIONAL_DEX_MAWILE,mawile,bug/poison,reference-front-plus-reconstructed-back
304,Cão-Bravo,Cão-Bravo,SPECIES_ARON,NATIONAL_DEX_ARON,aron,dark/normal,reference-front-plus-reconstructed-back
305,Gato-Preto,Gato-Preto,SPECIES_LAIRON,NATIONAL_DEX_LAIRON,lairon,dark/psychic,reference-front-plus-reconstructed-back
306,Perereca,Perereca,SPECIES_AGGRON,NATIONAL_DEX_AGGRON,aggron,water/poison,reference-front-plus-reconstructed-back
307,Lagartixa,Lagartixa,SPECIES_MEDITITE,NATIONAL_DEX_MEDITITE,meditite,normal/psychic,reference-front-plus-reconstructed-back
308,Traça-Papel,Traça-Papel,SPECIES_MEDICHAM,NATIONAL_DEX_MEDICHAM,medicham,bug/psychic,reference-front-plus-reconstructed-back
309,Poeirão,Poeirão,SPECIES_ELECTRIKE,NATIONAL_DEX_ELECTRIKE,electrike,ground/dark,reference-front-plus-reconstructed-back
310,Ferrugem,Ferrugem,SPECIES_MANECTRIC,NATIONAL_DEX_MANECTRIC,manectric,steel/water,reference-front-plus-reconstructed-back
311,Fumacento,Fumacento,SPECIES_PLUSLE,NATIONAL_DEX_PLUSLE,plusle,poison/flying,reference-front-plus-reconstructed-back
312,Óleoso,Óleoso,SPECIES_MINUN,NATIONAL_DEX_MINUN,minun,poison/water,reference-front-plus-reconstructed-back
313,Lixão,Lixão,SPECIES_VOLBEAT,NATIONAL_DEX_VOLBEAT,volbeat,poison/ground,reference-front-plus-reconstructed-back
314,Chorume,Chorume,SPECIES_ILLUMISE,NATIONAL_DEX_ILLUMISE,illumise,poison/dark,reference-front-plus-reconstructed-back
315,Bituca,Bituca,SPECIES_ROSELIA,NATIONAL_DEX_ROSELIA,roselia,fire/poison,procedural-concept-front-and-back
316,Latinha,Latinha,SPECIES_GULPIN,NATIONAL_DEX_GULPIN,gulpin,steel/normal,procedural-concept-front-and-back
317,Sacolim,Sacolim,SPECIES_SWALOT,NATIONAL_DEX_SWALOT,swalot,poison/flying,procedural-concept-front-and-back
318,Garrafão,Garrafão,SPECIES_CARVANHA,NATIONAL_DEX_CARVANHA,carvanha,water/poison,procedural-concept-front-and-back
319,Netzero,Netzero,SPECIES_SHARPEDO,NATIONAL_DEX_SHARPEDO,sharpedo,flying/poison,procedural-concept-front-and-back
320,Pilhoso,Pilhoso,SPECIES_WAILMER,NATIONAL_DEX_WAILMER,wailmer,electric/poison,procedural-concept-front-and-back
321,Cabofio,Cabofio,SPECIES_WAILORD,NATIONAL_DEX_WAILORD,wailord,electric/steel,procedural-concept-front-and-back
322,Bugão,Bugão,SPECIES_NUMEL,NATIONAL_DEX_NUMEL,numel,bug/dark,procedural-concept-front-and-back
323,Aluminio,Aluminio,SPECIES_CAMERUPT,NATIONAL_DEX_CAMERUPT,camerupt,steel/flying,procedural-concept-front-and-back
324,Concretim,Concretim,SPECIES_TORKOAL,NATIONAL_DEX_TORKOAL,torkoal,rock/steel,procedural-concept-front-and-back
325,Bueiro,Bueiro,SPECIES_SPOINK,NATIONAL_DEX_SPOINK,spoink,water/dark,procedural-concept-front-and-back
326,Sinal,Sinal,SPECIES_GRUMPIG,NATIONAL_DEX_GRUMPIG,grumpig,electric/psychic,procedural-concept-front-and-back
327,Poste,Poste,SPECIES_SPINDA,NATIONAL_DEX_SPINDA,spinda,steel/electric,procedural-concept-front-and-back
328,Grafiteiro,Grafiteiro,SPECIES_TRAPINCH,NATIONAL_DEX_TRAPINCH,trapinch,dark/fairy,procedural-concept-front-and-back
329,Guaraciana,Guaraciana,SPECIES_VIBRAVA,NATIONAL_DEX_VIBRAVA,vibrava,fire/fairy,procedural-concept-front-and-back
330,Jaciana,Jaciana,SPECIES_FLYGON,NATIONAL_DEX_FLYGON,flygon,fairy/water,procedural-concept-front-and-back
331,Tupanaú,Tupanaú,SPECIES_CACNEA,NATIONAL_DEX_CACNEA,cacnea,electric/dragon,procedural-concept-front-and-back
332,Iaraú,Iaraú,SPECIES_CACTURNE,NATIONAL_DEX_CACTURNE,cacturne,water/fairy,procedural-concept-front-and-back
333,Kuarahy,Kuarahy,SPECIES_SWABLU,NATIONAL_DEX_SWABLU,swablu,fire/psychic,procedural-concept-front-and-back
334,Yasy,Yasy,SPECIES_ALTARIA,NATIONAL_DEX_ALTARIA,altaria,fairy/dark,procedural-concept-front-and-back
335,Rudarauna,Rudarauna,SPECIES_ZANGOOSE,NATIONAL_DEX_ZANGOOSE,zangoose,fairy/psychic,procedural-concept-front-and-back
336,Perybé,Perybé,SPECIES_SEVIPER,NATIONAL_DEX_SEVIPER,seviper,water/psychic,procedural-concept-front-and-back
337,Arauanaú,Arauanaú,SPECIES_LUNATONE,NATIONAL_DEX_LUNATONE,lunatone,fairy/dragon,procedural-concept-front-and-back
338,Verdejante,Verdejante,SPECIES_SOLROCK,NATIONAL_DEX_SOLROCK,solrock,grass/dragon,procedural-concept-front-and-back
339,Chuvão,Chuvão,SPECIES_BARBOACH,NATIONAL_DEX_BARBOACH,barboach,water/electric,procedural-concept-front-and-back
340,Solzão,Solzão,SPECIES_WHISCASH,NATIONAL_DEX_WHISCASH,whiscash,fire/ground,procedural-concept-front-and-back
341,Ventania,Ventania,SPECIES_CORPHISH,NATIONAL_DEX_CORPHISH,corphish,flying/dragon,procedural-concept-front-and-back
342,Terraão,Terraão,SPECIES_CRAWDAUNT,NATIONAL_DEX_CRAWDAUNT,crawdaunt,ground/rock,procedural-concept-front-and-back
343,Fogaréu,Fogaréu,SPECIES_BALTOY,NATIONAL_DEX_BALTOY,baltoy,fire/dragon,procedural-concept-front-and-back
344,Marulho,Marulho,SPECIES_CLAYDOL,NATIONAL_DEX_CLAYDOL,claydol,water/dragon,procedural-concept-front-and-back
345,Alvorecer,Alvorecer,SPECIES_LILEEP,NATIONAL_DEX_LILEEP,lileep,fairy/fire,procedural-concept-front-and-back
346,Poente,Poente,SPECIES_CRADILY,NATIONAL_DEX_CRADILY,cradily,dark/fire,procedural-concept-front-and-back
347,Estrelinha,Estrelinha,SPECIES_ANORITH,NATIONAL_DEX_ANORITH,anorith,fairy/psychic,procedural-concept-front-and-back
348,Arauanamon,Arauanamon,SPECIES_ARMALDO,NATIONAL_DEX_ARMALDO,armaldo,dragon/fairy,procedural-concept-front-and-back
349,Aracuã,Aracuã,SPECIES_FEEBAS,NATIONAL_DEX_FEEBAS,feebas,flying/normal,procedural-concept-front-and-back
350,Bugio,Bugio,SPECIES_MILOTIC,NATIONAL_DEX_MILOTIC,milotic,normal/dark,procedural-concept-front-and-back
351,Tuim,Tuim,SPECIES_CASTFORM,NATIONAL_DEX_CASTFORM,castform,grass,procedural-concept-front-and-back
352,Periquitão,Periquitão,SPECIES_KECLEON,NATIONAL_DEX_KECLEON,kecleon,grass/flying,procedural-concept-front-and-back
353,Ararunão,Ararunão,SPECIES_SHUPPET,NATIONAL_DEX_SHUPPET,shuppet,grass/flying,procedural-concept-front-and-back
354,Preazinho,Preazinho,SPECIES_BANETTE,NATIONAL_DEX_BANETTE,banette,normal,procedural-concept-front-and-back
355,Capivarão,Capivarão,SPECIES_DUSKULL,NATIONAL_DEX_DUSKULL,duskull,normal/water,procedural-concept-front-and-back
356,Tamanduí,Tamanduí,SPECIES_DUSCLOPS,NATIONAL_DEX_DUSCLOPS,dusclops,bug,procedural-concept-front-and-back
357,Tamanduá,Tamanduá,SPECIES_TROPIUS,NATIONAL_DEX_TROPIUS,tropius,bug/ground,procedural-concept-front-and-back
358,Tamanduão,Tamanduão,SPECIES_CHIMECHO,NATIONAL_DEX_CHIMECHO,chimecho,bug/ground,procedural-concept-front-and-back
359,Preguicinha,Preguicinha,SPECIES_ABSOL,NATIONAL_DEX_ABSOL,absol,grass,procedural-concept-front-and-back
360,Preguiçoso,Preguiçoso,SPECIES_WYNAUT,NATIONAL_DEX_WYNAUT,wynaut,grass/psychic,procedural-concept-front-and-back
361,Beija-Flor,Beija-Flor,SPECIES_SNORUNT,NATIONAL_DEX_SNORUNT,snorunt,fairy/flying,procedural-concept-front-and-back
362,Beija-Luz,Beija-Luz,SPECIES_GLALIE,NATIONAL_DEX_GLALIE,glalie,fairy/fire,procedural-concept-front-and-back
363,Beija-Sol,Beija-Sol,SPECIES_SPHEAL,NATIONAL_DEX_SPHEAL,spheal,fairy/fire,procedural-concept-front-and-back
364,Sarará,Sarará,SPECIES_SEALEO,NATIONAL_DEX_SEALEO,sealeo,fairy/water,procedural-concept-front-and-back
365,Cambota,Cambota,SPECIES_WALREIN,NATIONAL_DEX_WALREIN,walrein,fighting/normal,procedural-concept-front-and-back
366,Berimbau,Berimbau,SPECIES_CLAMPERL,NATIONAL_DEX_CLAMPERL,clamperl,fairy/fighting,procedural-concept-front-and-back
367,Atabaque,Atabaque,SPECIES_HUNTAIL,NATIONAL_DEX_HUNTAIL,huntail,fighting/ground,procedural-concept-front-and-back
368,Pandeirim,Pandeirim,SPECIES_GOREBYSS,NATIONAL_DEX_GOREBYSS,gorebyss,fairy/normal,procedural-concept-front-and-back
369,Sanfoninha,Sanfoninha,SPECIES_RELICANTH,NATIONAL_DEX_RELICANTH,relicanth,normal/fairy,procedural-concept-front-and-back
370,Violeiro,Violeiro,SPECIES_LUVDISC,NATIONAL_DEX_LUVDISC,luvdisc,grass/fairy,procedural-concept-front-and-back
371,Zabumba,Zabumba,SPECIES_BAGON,NATIONAL_DEX_BAGON,bagon,ground/fighting,procedural-concept-front-and-back
372,Cordelim,Cordelim,SPECIES_SHELGON,NATIONAL_DEX_SHELGON,shelgon,psychic/fairy,procedural-concept-front-and-back
373,Rendeira,Rendeira,SPECIES_SALAMENCE,NATIONAL_DEX_SALAMENCE,salamence,fairy/bug,procedural-concept-front-and-back
374,Escamoso,Escamoso,SPECIES_BELDUM,NATIONAL_DEX_BELDUM,beldum,water/dark,procedural-concept-front-and-back
375,Piranhita,Piranhita,SPECIES_METANG,NATIONAL_DEX_METANG,metang,water/dark,procedural-concept-front-and-back
376,Boitatã,Boitatã,SPECIES_METAGROSS,NATIONAL_DEX_METAGROSS,metagross,fire/dragon,procedural-concept-front-and-back
377,Piraruaçu,Piraruaçu,SPECIES_REGIROCK,NATIONAL_DEX_REGIROCK,regirock,water/dragon,procedural-concept-front-and-back
378,Mata-Mata,Mata-Mata,SPECIES_REGICE,NATIONAL_DEX_REGICE,regice,grass/dragon,procedural-concept-front-and-back
379,Solaris,Solaris,SPECIES_REGISTEEL,NATIONAL_DEX_REGISTEEL,registeel,fire/psychic,procedural-concept-front-and-back
380,Selenê,Selenê,SPECIES_LATIAS,NATIONAL_DEX_LATIAS,latias,dark/psychic,procedural-concept-front-and-back
381,Zumbi-Rei,Zumbi-Rei,SPECIES_LATIOS,NATIONAL_DEX_LATIOS,latios,fighting/dark,procedural-concept-front-and-back
382,Iemanjã,Iemanjã,SPECIES_KYOGRE,NATIONAL_DEX_KYOGRE,kyogre,water/fairy,procedural-concept-front-and-back
383,Oxumará,Oxumará,SPECIES_GROUDON,NATIONAL_DEX_GROUDON,groudon,dragon/fairy,procedural-concept-front-and-back
384,Curupixel,Curupixel,SPECIES_RAYQUAZA,NATIONAL_DEX_RAYQUAZA,rayquaza,grass/fairy,procedural-concept-front-and-back
385,Sacinho,Sacinho,SPECIES_JIRACHI,NATIONAL_DEX_JIRACHI,jirachi,dark/fairy,procedural-concept-front-and-back
386,Arauá,Arauá,SPECIES_DEOXYS,NATIONAL_DEX_DEOXYS,deoxys,dragon/psychic,procedural-concept-front-and-back
