arauna_dex,name,type,weight_hg,donor,key
247,Rudá,fairy,125,ANORITH,61
248,Aluá,water,140,GOLDEEN,57
249,Jenipapo,dark,155,POOCHYENA,61
250,Urucum,fire,170,CHARMELEON,62
251,Caipora,grass,185,VILEPLUME,57
252,Anhangá-Pitã,ghost,200,DUSKULL,59
253,Yara-Pindá,water,215,CARVANHA,62
254,Pisadeira,ghost,230,DUSCLOPS,63
255,Zumbi,ghost,245,DUSCLOPS,62
256,Iemanjá-Pequena,water,260,HUNTAIL,61
257,Ossanha,grass,275,NUZLEAF,61
258,Oxalá,normal,290,PIDGEOTTO,61
259,Saciamigo,dark,305,SNEASEL,62
260,Sacipererê,dark,320,HOUNDOOM,62
352,Periquitão,grass,40,BELLSPROUT,61
315,Bituca,fire,245,FLAREON,61
324,Concretim,rock,380,SUDOWOODO,61
309,Poeirão,ground,155,VIBRAVA,61
310,Ferrugem,steel,170,MAWILE,59
355,Capivarão,normal,680,LICKITUNG,66
380,Selenê,dark,1700,ABSOL,54
360,Preguiçoso,grass,100,GLOOM,61
336,Perybé,water,560,LUDICOLO,64
319,Netzero,flying,305,DUSCLOPS,61
335,Rudarauna,fairy,545,MR_MIME,62
298,Cristo,fairy,890,FERALIGATR,63
333,Kuarahy,fire,515,BLAZIKEN,62
334,Yasy,fairy,530,ZAPDOS,63
276,Maracatu,dark,560,ABSOL,68
277,Congada,fighting,575,HITMONCHAN,60
327,Poste,steel,425,SKARMORY,62
001,Caramelo,fire,82,CHARMANDER,61
002,Caramelão,fire,284,PONYTA,61
003,Draguará,fire,1420,ARCANINE,62
007,Pimpau,grass,28,JUMPLUFF,59
008,Bicopau,grass,140,IVYSAUR,63
009,Petropico,grass,880,TROPIUS,64
004,Querô,water,31,LOTAD,58
005,Queribela,water,120,CHINCHOU,59
006,Terolibra,water,480,TENTACOOL,57
279,Onçuma,dark,605,ABSOL,50
278,Folião,normal,590,SMEARGLE,56
354,Preazinho,normal,30,CLEFFA,61
353,Ararunão,grass,150,VICTREEBEL,62
270,Beata,fairy,470,ABSOL,49
271,Menino-Deus,fairy,485,GARDEVOIR,63
272,Rei-Momo,normal,500,GRANBULL,59
273,Bumba-Meu-Boi,normal,515,GRANBULL,62
274,Reisado,fairy,530,ZAPDOS,57
275,Frevinho,fighting,545,HITMONCHAN,57
318,Garrafão,water,290,VAPOREON,61
265,Preto-Velho,ghost,395,GENGAR,61
266,Caboclo-Guerreiro,grass,410,BRELOOM,61
267,Marinheiro,water,425,TENTACOOL,64
268,Baiano,fire,440,MAGMAR,58
269,Cangaceiro,dark,455,ABSOL,72
280,Sucuriaçu,water,620,KINGLER,51
281,Pirarumbá,water,635,KINGLER,70
282,Draguará-Alfa,fire,650,MOLTRES,63
287,Curupira-Rei,grass,725,CACTURNE,56
288,Saci-Rei,dark,740,ABSOL,51
289,Anhangaú,ghost,755,GENGAR,53
290,Muirá-Kytã,grass,770,CACTURNE,65
291,Cobra-Norato,water,785,SLOWBRO,63
292,Mapinguari,grass,800,CACTURNE,55
296,Amazona,fighting,860,MAKUHITA,61
297,Corcovado-Ancião,rock,875,NOSEPASS,60
299,Ratão,dark,905,ABSOL,58
362,Beija-Luz,fairy,10,CHIMECHO,61
311,Fumacento,poison,185,NIDORINO,61
312,Óleoso,poison,200,NIDORINA,62
283,Terolibra-Rainha,water,665,KINGLER,61
284,Petropico-Ancião,grass,680,CACTURNE,66
300,Pombim,flying,20,AZURILL,61
301,Pombão,flying,35,RATTATA,62
316,Latinha,steel,260,SKARMORY,68
317,Sacolim,poison,275,GRIMER,65
322,Bugão,bug,350,LEDIAN,59
323,Aluminio,steel,365,SKARMORY,58
339,Chuvão,water,605,KINGLER,50
340,Solzão,fire,620,MOLTRES,57
341,Ventania,flying,635,GLIGAR,57
342,Terraão,ground,650,GLIGAR,64
325,Bueiro,water,395,SEAKING,65
326,Sinal,electric,410,MANECTRIC,61
328,Grafiteiro,dark,440,ABSOL,48
329,Guaraciana,fire,455,MAGMAR,63
330,Jaciana,fairy,470,ABSOL,60
331,Tupanaú,electric,485,ZAPDOS,64
332,Iaraú,water,500,CLAMPERL,62
343,Fogaréu,fire,665,MOLTRES,60
344,Marulho,water,680,QUAGSIRE,49
337,Arauanaú,fairy,575,SMEARGLE,65
338,Verdejante,grass,590,SHIFTRY,64
349,Aracuã,flying,755,MILTANK,58
350,Bugio,normal,770,MILTANK,63
359,Preguicinha,grass,35,BELLSPROUT,59
307,Lagartixa,normal,125,WIGGLYTUFF,57
308,Traça-Papel,bug,140,VENOMOTH,60
363,Beija-Sol,fairy,25,EXEGGCUTE,61
364,Sarará,fairy,120,CHINCHOU,62
365,Cambota,fighting,250,MANKEY,62
366,Berimbau,fairy,180,ILLUMISE,62
367,Atabaque,fighting,450,HITMONTOP,61
368,Pandeirim,fairy,50,CELEBI,61
345,Alvorecer,fairy,695,MACHOKE,62
346,Poente,dark,710,ABSOL,66
347,Estrelinha,fairy,725,LARVITAR,62
348,Arauanamon,dragon,740,LATIOS,60
374,Escamoso,water,320,LOMBRE,61
375,Piranhita,water,30,LOTAD,61
376,Boitatã,fire,2200,CAMERUPT,61
371,Zabumba,ground,500,MAROWAK,60
372,Cordelim,psychic,40,MEW,61
377,Piraruaçu,water,3400,KYOGRE,61
378,Mata-Mata,grass,1900,EXEGGUTOR,58
379,Solaris,fire,1800,ENTEI,62
351,Tuim,grass,15,SUNKERN,62
313,Lixão,poison,215,NIDORINA,58
314,Chorume,poison,230,NIDORINA,60
261,Curupira-Ancião,grass,335,TANGELA,59
262,Caipora-Fêmea,grass,350,TANGELA,62
356,Tamanduí,bug,40,MASQUERAIN,60
302,Baratão,bug,50,PARAS,61
303,Mosquim,bug,65,PINECO,62
304,Cão-Bravo,dark,80,HOUNDOUR,63
305,Gato-Preto,dark,95,HOUNDOUR,62
306,Perereca,water,110,CORPHISH,61
369,Sanfoninha,normal,120,WIGGLYTUFF,64
370,Violeiro,grass,200,VILEPLUME,64
383,Oxumará,dragon,1750,RAYQUAZA,62
382,Iemanjã,water,1600,MILOTIC,61
384,Curupixel,grass,30,JUMPLUFF,62
373,Rendeira,fairy,80,HORSEA,62
286,Iara-Mãe,water,710,QUAGSIRE,70
285,Boitatá-Puro,fire,695,TYPHLOSION,62
264,Exu,dark,380,MIGHTYENA,59
357,Tamanduá,bug,350,LEDIAN,62
320,Pilhoso,electric,320,ELECTABUZZ,61
263,Pomba-Gira,dark,365,MIGHTYENA,62
295,Muiraquitã,rock,845,NOSEPASS,63
294,Uirapuru,flying,830,EXPLOUD,65
321,Cabofio,electric,335,ELECTABUZZ,60
293,Ipupiara,water,815,SWAMPERT,63
361,Beija-Flor,fairy,3,HOPPIP,64
381,Zumbi-Rei,fighting,1500,MACHAMP,60
385,Sacinho,dark,25,MURKROW,60
386,Arauá,dragon,880,SALAMENCE,62
358,Tamanduão,bug,900,SCIZOR,63
