dex,name,types,status,productionMethod,referenceStatus,frontPicBox,backPicBox,iconPalIndex,visibleColors,animation,shiny
211,Fóssil,rock/dragon,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
212,Meteorito,rock/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
213,Vulcanite,fire/rock,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
214,Marmim,rock/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
215,Granito,rock/fighting,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
216,Caranguim,water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
217,Guaiamum,water/ground,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
218,Siri,water/fighting,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
219,Camarão,water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
220,Polvim,water/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
221,Polvão,water/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
222,Águaviva,water/poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
223,Cavalim-Marinho,water/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
224,Tartaruguim,water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
225,Tartaruga,water/rock,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
226,Golfinho,water/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
227,Baleia,water/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
228,Tubarim,water/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
229,Tubarão,water/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
230,Arraia,water/electric,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
231,Peixe-Espada,water/steel,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
232,Pargo,water/fire,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
233,Pescadão,water/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
234,Loirinha,ghost/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
235,Cuca,dark/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
236,Bicho-Papão,dark/ghost,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
237,Lobisomem,dark/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
238,Corpo-Seco,ghost/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
239,Mão-Peluda,ghost/fighting,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
240,Perna-Cabeluda,ghost/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
241,Comadre,ghost/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
242,Anhangá,ghost/grass,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
243,Jurupari,dark/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
244,Tupã,electric/dragon,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
245,Jaci,fairy/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
246,Guaraci,fire/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
247,Rudá,fairy/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
248,Aluá,water/poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
249,Jenipapo,dark/grass,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
250,Urucum,fire/grass,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
251,Caipora,grass/fighting,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
252,Anhangá-Pitã,ghost/fire,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
253,Yara-Pindá,water/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
254,Pisadeira,ghost/fighting,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
255,Zumbi,ghost/fighting,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
256,Iemanjá-Pequena,water/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
257,Ossanha,grass/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
258,Oxalá,normal/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
259,Saciamigo,dark/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
260,Sacipererê,dark/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
261,Curupira-Ancião,grass/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
262,Caipora-Fêmea,grass/fighting,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
263,Pomba-Gira,dark/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
264,Exu,dark/fighting,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
265,Preto-Velho,ghost/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
266,Caboclo-Guerreiro,grass/fighting,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
267,Marinheiro,water/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
268,Baiano,fire/fighting,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
269,Cangaceiro,dark/fighting,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
270,Beata,fairy/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
271,Menino-Deus,fairy/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
272,Rei-Momo,normal/fire,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
273,Bumba-Meu-Boi,normal/fire,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
274,Reisado,fairy/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
275,Frevinho,fighting/fire,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
276,Maracatu,dark/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
277,Congada,fighting/fire,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
278,Folião,normal/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
279,Onçuma,dark/ghost,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
280,Sucuriaçu,water/dragon,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
281,Pirarumbá,water/dragon,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
282,Draguará-Alfa,fire/dragon,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
283,Terolibra-Rainha,water/bug,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
284,Petropico-Ancião,grass/rock,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
285,Boitatá-Puro,fire/dragon,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
286,Iara-Mãe,water/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
287,Curupira-Rei,grass/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
288,Saci-Rei,dark/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
289,Anhangaú,ghost/grass,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
290,Muirá-Kytã,grass/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
291,Cobra-Norato,water/dragon,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
292,Mapinguari,grass/fighting,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
293,Ipupiara,water/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
294,Uirapuru,flying/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
295,Muiraquitã,rock/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
296,Amazona,fighting/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
297,Corcovado-Ancião,rock/dragon,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
298,Cristo,fairy/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
299,Ratão,dark/poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
300,Pombim,flying/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
301,Pombão,flying/poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
302,Baratão,bug/flying,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
303,Mosquim,bug/poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
304,Cão-Bravo,dark/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
305,Gato-Preto,dark/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
306,Perereca,water/poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
307,Lagartixa,normal/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
308,Traça-Papel,bug/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
309,Poeirão,ground/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
310,Ferrugem,steel/water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
311,Fumacento,poison/flying,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
312,Óleoso,poison/water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
313,Lixão,poison/ground,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
314,Chorume,poison/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
315,Bituca,fire/poison,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,2,5,two-frame-idle-lift,type-directed-palette
316,Latinha,steel/normal,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,2,5,two-frame-idle-lift,type-directed-palette
317,Sacolim,poison/flying,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,2,5,two-frame-idle-lift,type-directed-palette
318,Garrafão,water/poison,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,3,5,two-frame-idle-lift,type-directed-palette
319,Netzero,flying/poison,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,2,5,two-frame-idle-lift,type-directed-palette
320,Pilhoso,electric/poison,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,2,5,two-frame-idle-lift,type-directed-palette
321,Cabofio,electric/steel,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,5,two-frame-idle-lift,type-directed-palette
322,Bugão,bug/dark,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,5,5,two-frame-idle-lift,type-directed-palette
323,Aluminio,steel/flying,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,2,5,two-frame-idle-lift,type-directed-palette
324,Concretim,rock/steel,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,2,5,two-frame-idle-lift,type-directed-palette
325,Bueiro,water/dark,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,3,5,two-frame-idle-lift,type-directed-palette
326,Sinal,electric/psychic,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,5,two-frame-idle-lift,type-directed-palette
327,Poste,steel/electric,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,5,two-frame-idle-lift,type-directed-palette
328,Grafiteiro,dark/fairy,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,0,5,two-frame-idle-lift,type-directed-palette
329,Guaraciana,fire/fairy,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,5,two-frame-idle-lift,type-directed-palette
330,Jaciana,fairy/water,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,4,5,two-frame-idle-lift,type-directed-palette
331,Tupanaú,electric/dragon,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,0,5,two-frame-idle-lift,type-directed-palette
332,Iaraú,water/fairy,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,3,5,two-frame-idle-lift,type-directed-palette
333,Kuarahy,fire/psychic,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,5,two-frame-idle-lift,type-directed-palette
334,Yasy,fairy/dark,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,5,two-frame-idle-lift,type-directed-palette
335,Rudarauna,fairy/psychic,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,5,two-frame-idle-lift,type-directed-palette
336,Perybé,water/psychic,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,3,5,two-frame-idle-lift,type-directed-palette
337,Arauanaú,fairy/dragon,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,0,4,two-frame-idle-lift,type-directed-palette
338,Verdejante,grass/dragon,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,4,5,two-frame-idle-lift,type-directed-palette
339,Chuvão,water/electric,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,3,5,two-frame-idle-lift,type-directed-palette
340,Solzão,fire/ground,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,5,two-frame-idle-lift,type-directed-palette
341,Ventania,flying/dragon,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,2,5,two-frame-idle-lift,type-directed-palette
342,Terraão,ground/rock,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,2,5,two-frame-idle-lift,type-directed-palette
343,Fogaréu,fire/dragon,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,0,5,two-frame-idle-lift,type-directed-palette
344,Marulho,water/dragon,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,3,5,two-frame-idle-lift,type-directed-palette
345,Alvorecer,fairy/fire,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,5,two-frame-idle-lift,type-directed-palette
346,Poente,dark/fire,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,5,two-frame-idle-lift,type-directed-palette
347,Estrelinha,fairy/psychic,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,5,two-frame-idle-lift,type-directed-palette
348,Arauanamon,dragon/fairy,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,0,4,two-frame-idle-lift,type-directed-palette
349,Aracuã,flying/normal,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,2,5,two-frame-idle-lift,type-directed-palette
350,Bugio,normal/dark,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,2,5,two-frame-idle-lift,type-directed-palette
351,Tuim,grass,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,5,5,two-frame-idle-lift,type-directed-palette
352,Periquitão,grass/flying,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,5,5,two-frame-idle-lift,type-directed-palette
353,Ararunão,grass/flying,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,5,5,two-frame-idle-lift,type-directed-palette
354,Preazinho,normal,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,2,5,two-frame-idle-lift,type-directed-palette
355,Capivarão,normal/water,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,2,5,two-frame-idle-lift,type-directed-palette
356,Tamanduí,bug,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,5,two-frame-idle-lift,type-directed-palette
357,Tamanduá,bug/ground,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,5,5,two-frame-idle-lift,type-directed-palette
358,Tamanduão,bug/ground,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,5,5,two-frame-idle-lift,type-directed-palette
359,Preguicinha,grass,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,5,5,two-frame-idle-lift,type-directed-palette
360,Preguiçoso,grass/psychic,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,5,two-frame-idle-lift,type-directed-palette
361,Beija-Flor,fairy/flying,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,0,5,two-frame-idle-lift,type-directed-palette
362,Beija-Luz,fairy/fire,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,5,two-frame-idle-lift,type-directed-palette
363,Beija-Sol,fairy/fire,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,5,two-frame-idle-lift,type-directed-palette
364,Sarará,fairy/water,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,4,5,two-frame-idle-lift,type-directed-palette
365,Cambota,fighting/normal,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,5,5,two-frame-idle-lift,type-directed-palette
366,Berimbau,fairy/fighting,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,5,two-frame-idle-lift,type-directed-palette
367,Atabaque,fighting/ground,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,5,5,two-frame-idle-lift,type-directed-palette
368,Pandeirim,fairy/normal,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,5,two-frame-idle-lift,type-directed-palette
369,Sanfoninha,normal/fairy,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,2,5,two-frame-idle-lift,type-directed-palette
370,Violeiro,grass/fairy,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,5,two-frame-idle-lift,type-directed-palette
371,Zabumba,ground/fighting,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,5,5,two-frame-idle-lift,type-directed-palette
372,Cordelim,psychic/fairy,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,0,5,two-frame-idle-lift,type-directed-palette
373,Rendeira,fairy/bug,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,5,two-frame-idle-lift,type-directed-palette
374,Escamoso,water/dark,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,3,5,two-frame-idle-lift,type-directed-palette
375,Piranhita,water/dark,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,3,5,two-frame-idle-lift,type-directed-palette
376,Boitatã,fire/dragon,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,4,two-frame-idle-lift,type-directed-palette
377,Piraruaçu,water/dragon,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,3,5,two-frame-idle-lift,type-directed-palette
378,Mata-Mata,grass/dragon,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,4,4,two-frame-idle-lift,type-directed-palette
379,Solaris,fire/psychic,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,5,two-frame-idle-lift,type-directed-palette
380,Selenê,dark/psychic,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,0,5,two-frame-idle-lift,type-directed-palette
381,Zumbi-Rei,fighting/dark,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,5,two-frame-idle-lift,type-directed-palette
382,Iemanjã,water/fairy,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,3,4,two-frame-idle-lift,type-directed-palette
383,Oxumará,dragon/fairy,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,0,5,two-frame-idle-lift,type-directed-palette
384,Curupixel,grass/fairy,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,1,4,two-frame-idle-lift,type-directed-palette
385,Sacinho,dark/fairy,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,0,4,two-frame-idle-lift,type-directed-palette
386,Arauá,dragon/psychic,integrated,procedural-concept-front-and-back,missing-created-from-dex-data,58/58,58/58,0,5,two-frame-idle-lift,type-directed-palette
