engine_slot,vanilla_bst,now_holds_slot,arauna_dex,arauna_name,arauna_bst
SPECIES_REGICE,580,SPECIES_REGICE,378,Mata-Mata,640
SPECIES_REGISTEEL,580,SPECIES_REGISTEEL,379,Solaris,670
SPECIES_ARTICUNO,580,SPECIES_LOUDRED,294,Uirapuru,607
SPECIES_ENTEI,580,SPECIES_CRADILY,346,Poente,607
SPECIES_MOLTRES,580,SPECIES_VIBRAVA,329,Guaraciana,606
SPECIES_RAIKOU,580,SPECIES_VIGOROTH,288,Saci-Rei,606
SPECIES_SUICUNE,580,SPECIES_SEVIPER,336,Perybé,603
SPECIES_ZAPDOS,580,SPECIES_BLASTOISE,018,Curupira,603
SPECIES_CELEBI,600,SPECIES_SHEDINJA,292,Mapinguari,603
SPECIES_DEOXYS,600,SPECIES_MAKUHITA,296,Amazona,606
SPECIES_DRAGONITE,600,SPECIES_PELIPPER,279,Onçuma,605
SPECIES_JIRACHI,600,SPECIES_ALTARIA,334,Yasy,605
SPECIES_LATIAS,600,SPECIES_SOLROCK,338,Verdejante,607
SPECIES_LATIOS,600,SPECIES_LUNATONE,337,Arauanaú,605
SPECIES_METAGROSS,600,SPECIES_ZANGOOSE,335,Rudarauna,607
SPECIES_MEW,600,SPECIES_SPHEAL,363,Beija-Sol,610
SPECIES_SALAMENCE,600,SPECIES_ARMALDO,348,Arauanamon,650
SPECIES_TYRANITAR,600,SPECIES_JIRACHI,385,Sacinho,650
SPECIES_KYOGRE,670,SPECIES_KYOGRE,382,Iemanjã,695
SPECIES_GROUDON,670,SPECIES_GROUDON,383,Oxumará,695
SPECIES_SLAKING,670,SPECIES_LATIOS,381,Zumbi-Rei,655
SPECIES_RAYQUAZA,680,SPECIES_RAYQUAZA,384,Curupixel,645
SPECIES_HO_OH,680,SPECIES_METAGROSS,376,Boitatã,650
SPECIES_LUGIA,680,SPECIES_LATIAS,380,Selenê,670
SPECIES_MEWTWO,680,SPECIES_DEOXYS,386,Arauá,720
