id,name,species,types,source_region,biome,availability,tier,stage,evolution_level,bst,methods
234,Loirinha,SPECIES_DELIBIRD,ghost/fairy,Cidades de Arauana,urban,wild,mid,standalone,0,445,land
235,Cuca,SPECIES_MANTINE,dark/psychic,Cerrado de Arauana,cerrado,wild,mid,standalone,0,447,land
236,Bicho-Papão,SPECIES_SKARMORY,dark/ghost,Cidades de Arauana,urban,wild,mid,standalone,0,449,land
237,Lobisomem,SPECIES_HOUNDOUR,dark/normal,Cerrado de Arauana,cerrado,story,story,standalone,0,445,land
238,Corpo-Seco,SPECIES_HOUNDOOM,ghost/dark,Cerrado de Arauana,cerrado,wild,mid,standalone,0,447,land
239,Mão-Peluda,SPECIES_KINGDRA,ghost/fighting,Cidades de Arauana,urban,wild,mid,standalone,0,449,land
240,Perna-Cabeluda,SPECIES_PHANPY,ghost/normal,Cidades de Arauana,urban,wild,mid,standalone,0,446,land
241,Comadre,SPECIES_DONPHAN,ghost/fairy,Cerrado de Arauana,cerrado,wild,mid,standalone,0,448,land
242,Anhangá,SPECIES_PORYGON2,ghost/grass,Amazônia de Arauana,amazon,wild,mid,standalone,0,444,land
243,Jurupari,SPECIES_STANTLER,dark/fairy,Amazônia de Arauana,amazon,story,story,standalone,0,604,land
244,Tupã,SPECIES_SMEARGLE,electric/dragon,Serra de Arauana,highlands,story,story,standalone,0,606,land
245,Jaci,SPECIES_TYROGUE,fairy/psychic,Serra de Arauana,highlands,story,story,standalone,0,603,land
246,Guaraci,SPECIES_HITMONTOP,fire/fairy,Serra de Arauana,highlands,story,story,standalone,0,605,land
247,Rudá,SPECIES_SMOOCHUM,fairy/psychic,Litoral de Arauana,coast,story,story,standalone,0,449,land
248,Aluá,SPECIES_ELEKID,water/poison,Amazônia de Arauana,amazon,wild,mid,standalone,0,445,fishing/land/water
249,Jenipapo,SPECIES_MAGBY,dark/grass,Amazônia de Arauana,amazon,wild,mid,standalone,0,447,land
250,Urucum,SPECIES_MILTANK,fire/grass,Amazônia de Arauana,amazon,wild,mid,standalone,0,449,land
251,Caipora,SPECIES_BLISSEY,grass/fighting,Cerrado de Arauana,cerrado,wild,late,standalone,0,552,land
252,Anhangá-Pitã,SPECIES_RAIKOU,ghost/fire,Amazônia de Arauana,amazon,wild,mid,standalone,0,448,land
253,Yara-Pindá,SPECIES_ENTEI,water/fairy,Amazônia de Arauana,amazon,wild,mid,standalone,0,444,fishing/land/water
254,Pisadeira,SPECIES_SUICUNE,ghost/fighting,Cidades de Arauana,urban,wild,mid,standalone,0,446,land
255,Zumbi,SPECIES_LARVITAR,ghost/fighting,Serra de Arauana,highlands,story,story,standalone,0,606,land
256,Iemanjá-Pequena,SPECIES_PUPITAR,water/fairy,Litoral de Arauana,coast,story,story,standalone,0,445,fishing/land/water
257,Ossanha,SPECIES_TYRANITAR,grass/fairy,Mata Atlântica de Arauana,atlantic_forest,wild,mid,standalone,0,447,land
258,Oxalá,SPECIES_LUGIA,normal/fairy,Serra de Arauana,highlands,story,story,standalone,0,607,land
259,Saciamigo,SPECIES_HO_OH,dark/fairy,Cerrado de Arauana,cerrado,wild,mid,standalone,0,445,land
260,Sacipererê,SPECIES_CELEBI,dark/fairy,Cerrado de Arauana,cerrado,wild,late,standalone,0,605,land
261,Curupira-Ancião,SPECIES_POOCHYENA,grass/fairy,Amazônia de Arauana,amazon,story,story,standalone,0,449,land
262,Caipora-Fêmea,SPECIES_MIGHTYENA,grass/fighting,Cerrado de Arauana,cerrado,wild,mid,standalone,0,446,land
263,Pomba-Gira,SPECIES_ZIGZAGOON,dark/fairy,Cidades de Arauana,urban,story,story,standalone,0,448,land
264,Exu,SPECIES_LINOONE,dark/fighting,Cidades de Arauana,urban,story,story,standalone,0,444,land
265,Preto-Velho,SPECIES_WURMPLE,ghost/psychic,Cidades de Arauana,urban,story,story,standalone,0,604,land
266,Caboclo-Guerreiro,SPECIES_SILCOON,grass/fighting,Mata Atlântica de Arauana,atlantic_forest,wild,mid,standalone,0,448,land
267,Marinheiro,SPECIES_BEAUTIFLY,water/dark,Litoral de Arauana,coast,wild,mid,standalone,0,445,fishing/land/water
268,Baiano,SPECIES_CASCOON,fire/fighting,Litoral de Arauana,coast,wild,mid,standalone,0,447,land
269,Cangaceiro,SPECIES_DUSTOX,dark/fighting,Caatinga de Arauana,caatinga,story,story,standalone,0,449,land
270,Beata,SPECIES_LOTAD,fairy/psychic,Caatinga de Arauana,caatinga,story,story,standalone,0,445,land
271,Menino-Deus,SPECIES_LOMBRE,fairy/normal,Cerrado de Arauana,cerrado,story,story,standalone,0,447,land
272,Rei-Momo,SPECIES_LUDICOLO,normal/fire,Cidades de Arauana,urban,wild,mid,standalone,0,449,land
273,Bumba-Meu-Boi,SPECIES_SEEDOT,normal/fire,Amazônia de Arauana,amazon,wild,mid,standalone,0,446,land
274,Reisado,SPECIES_NUZLEAF,fairy/normal,Caatinga de Arauana,caatinga,wild,mid,standalone,0,448,land
275,Frevinho,SPECIES_SHIFTRY,fighting/fire,Litoral de Arauana,coast,wild,mid,standalone,0,444,land
276,Maracatu,SPECIES_TAILLOW,dark/fairy,Litoral de Arauana,coast,wild,mid,standalone,0,446,land
277,Congada,SPECIES_SWELLOW,fighting/fire,Cerrado de Arauana,cerrado,wild,mid,standalone,0,448,land
278,Folião,SPECIES_WINGULL,normal/fairy,Cidades de Arauana,urban,wild,mid,standalone,0,445,land
279,Onçuma,SPECIES_PELIPPER,dark/ghost,Amazônia de Arauana,amazon,wild,late,standalone,0,605,land
280,Sucuriaçu,SPECIES_RALTS,water/dragon,Amazônia de Arauana,amazon,wild,late,standalone,0,607,fishing/land/water
281,Pirarumbá,SPECIES_KIRLIA,water/dragon,Amazônia de Arauana,amazon,wild,late,standalone,0,603,fishing/water
282,Draguará-Alfa,SPECIES_GARDEVOIR,fire/dragon,Serra de Arauana,highlands,wild,late,standalone,0,605,land
283,Terolibra-Rainha,SPECIES_SURSKIT,water/bug,Banhados de Arauana,wetlands,wild,late,standalone,0,607,fishing/land/water
284,Petropico-Ancião,SPECIES_MASQUERAIN,grass/rock,Chapadas de Arauana,chapadas,wild,late,standalone,0,604,land/rock_smash
285,Boitatá-Puro,SPECIES_SHROOMISH,fire/dragon,Cerrado de Arauana,cerrado,wild,late,standalone,0,606,land
286,Iara-Mãe,SPECIES_BRELOOM,water/fairy,Amazônia de Arauana,amazon,story,story,standalone,0,602,fishing/land/water
287,Curupira-Rei,SPECIES_SLAKOTH,grass/fairy,Mata Atlântica de Arauana,atlantic_forest,wild,late,standalone,0,604,land
288,Saci-Rei,SPECIES_VIGOROTH,dark/fairy,Cerrado de Arauana,cerrado,wild,late,standalone,0,606,land
289,Anhangaú,SPECIES_SLAKING,ghost/grass,Amazônia de Arauana,amazon,wild,late,standalone,0,603,land
290,Muirá-Kytã,SPECIES_NINCADA,grass/fairy,Amazônia de Arauana,amazon,wild,late,standalone,0,605,land
291,Cobra-Norato,SPECIES_NINJASK,water/dragon,Amazônia de Arauana,amazon,story,story,standalone,0,607,fishing/land/water
292,Mapinguari,SPECIES_SHEDINJA,grass/fighting,Amazônia de Arauana,amazon,wild,late,standalone,0,603,land
293,Ipupiara,SPECIES_WHISMUR,water/dark,Litoral de Arauana,coast,wild,late,standalone,0,605,fishing/water
294,Uirapuru,SPECIES_LOUDRED,flying/fairy,Amazônia de Arauana,amazon,wild,late,standalone,0,607,land
295,Muiraquitã,SPECIES_EXPLOUD,rock/fairy,Amazônia de Arauana,amazon,wild,late,standalone,0,604,land/rock_smash
296,Amazona,SPECIES_MAKUHITA,fighting/fairy,Amazônia de Arauana,amazon,wild,late,standalone,0,606,land
297,Corcovado-Ancião,SPECIES_HARIYAMA,rock/dragon,Serra de Arauana,highlands,wild,late,standalone,0,602,land/rock_smash
298,Cristo,SPECIES_AZURILL,fairy/psychic,Serra de Arauana,highlands,story,story,standalone,0,604,land
299,Ratão,SPECIES_NOSEPASS,dark/poison,Cidades de Arauana,urban,wild,mid,standalone,0,448,land
300,Pombim,SPECIES_SKITTY,flying/normal,Cidades de Arauana,urban,wild,early,base,0,283,land
301,Pombão,SPECIES_DELCATTY,flying/poison,Cidades de Arauana,urban,wild,late,standalone,0,553,land
302,Baratão,SPECIES_SABLEYE,bug/flying,Cidades de Arauana,urban,wild,mid,final,16,449,land
303,Mosquim,SPECIES_MAWILE,bug/poison,Cidades de Arauana,urban,wild,mid,standalone,0,445,land
304,Cão-Bravo,SPECIES_ARON,dark/normal,Cidades de Arauana,urban,wild,mid,standalone,0,447,land
305,Gato-Preto,SPECIES_LAIRON,dark/psychic,Cidades de Arauana,urban,wild,mid,standalone,0,449,land
306,Perereca,SPECIES_AGGRON,water/poison,Cidades de Arauana,urban,wild,mid,standalone,0,446,fishing/land/water
307,Lagartixa,SPECIES_MEDITITE,normal/psychic,Cidades de Arauana,urban,wild,mid,standalone,0,448,land
308,Traça-Papel,SPECIES_MEDICHAM,bug/psychic,Cidades de Arauana,urban,wild,mid,standalone,0,444,land
309,Poeirão,SPECIES_ELECTRIKE,ground/dark,Cidades de Arauana,urban,wild,mid,standalone,0,446,land/rock_smash
310,Ferrugem,SPECIES_MANECTRIC,steel/water,Cidades de Arauana,urban,wild,mid,standalone,0,448,fishing/land/rock_smash/water
311,Fumacento,SPECIES_PLUSLE,poison/flying,Cidades de Arauana,urban,wild,mid,standalone,0,445,land
312,Óleoso,SPECIES_MINUN,poison/water,Litoral de Arauana,coast,wild,mid,standalone,0,447,fishing/water
313,Lixão,SPECIES_VOLBEAT,poison/ground,Cidades de Arauana,urban,wild,early,base,0,287,land/rock_smash
314,Chorume,SPECIES_ILLUMISE,poison/dark,Cidades de Arauana,urban,wild,late,standalone,0,551,land
315,Bituca,SPECIES_ROSELIA,fire/poison,Cidades de Arauana,urban,wild,mid,standalone,0,447,land
316,Latinha,SPECIES_GULPIN,steel/normal,Cidades de Arauana,urban,wild,mid,final,22,449,land/rock_smash
317,Sacolim,SPECIES_SWALOT,poison/flying,Cidades de Arauana,urban,wild,mid,standalone,0,446,land
318,Garrafão,SPECIES_CARVANHA,water/poison,Rios de Arauana,rivers,wild,mid,standalone,0,448,fishing/land/water
319,Netzero,SPECIES_SHARPEDO,flying/poison,Litoral de Arauana,coast,wild,mid,standalone,0,444,land
320,Pilhoso,SPECIES_WAILMER,electric/poison,Cidades de Arauana,urban,wild,mid,standalone,0,446,land
321,Cabofio,SPECIES_WAILORD,electric/steel,Cidades de Arauana,urban,wild,mid,standalone,0,448,land/rock_smash
322,Bugão,SPECIES_NUMEL,bug/dark,Cidades de Arauana,urban,wild,mid,standalone,0,445,land
323,Aluminio,SPECIES_CAMERUPT,steel/flying,Cidades de Arauana,urban,wild,mid,standalone,0,447,land/rock_smash
324,Concretim,SPECIES_TORKOAL,rock/steel,Cidades de Arauana,urban,wild,mid,standalone,0,449,land/rock_smash
325,Bueiro,SPECIES_SPOINK,water/dark,Cidades de Arauana,urban,wild,mid,standalone,0,445,fishing/land/water
326,Sinal,SPECIES_GRUMPIG,electric/psychic,Cidades de Arauana,urban,wild,mid,standalone,0,447,land
327,Poste,SPECIES_SPINDA,steel/electric,Cidades de Arauana,urban,wild,mid,standalone,0,449,land/rock_smash
328,Grafiteiro,SPECIES_TRAPINCH,dark/fairy,Cidades de Arauana,urban,wild,mid,standalone,0,446,land
329,Guaraciana,SPECIES_VIBRAVA,fire/fairy,Serra de Arauana,highlands,legendary,legendary,standalone,0,606,land
330,Jaciana,SPECIES_FLYGON,fairy/water,Serra de Arauana,highlands,legendary,legendary,standalone,0,602,fishing/land/water
331,Tupanaú,SPECIES_CACNEA,electric/dragon,Serra de Arauana,highlands,legendary,legendary,standalone,0,604,land
332,Iaraú,SPECIES_CACTURNE,water/fairy,Amazônia de Arauana,amazon,legendary,legendary,standalone,0,606,fishing/land/water
333,Kuarahy,SPECIES_SWABLU,fire/psychic,Serra de Arauana,highlands,legendary,legendary,standalone,0,603,land
334,Yasy,SPECIES_ALTARIA,fairy/dark,Serra de Arauana,highlands,legendary,legendary,standalone,0,605,land
335,Rudarauna,SPECIES_ZANGOOSE,fairy/psychic,Litoral de Arauana,coast,legendary,legendary,standalone,0,607,land
336,Perybé,SPECIES_SEVIPER,water/psychic,Amazônia de Arauana,amazon,legendary,legendary,standalone,0,603,fishing/land/water
337,Arauanaú,SPECIES_LUNATONE,fairy/dragon,Serra de Arauana,highlands,legendary,legendary,standalone,0,605,land
338,Verdejante,SPECIES_SOLROCK,grass/dragon,Amazônia de Arauana,amazon,legendary,legendary,standalone,0,607,land
339,Chuvão,SPECIES_BARBOACH,water/electric,Serra de Arauana,highlands,legendary,legendary,standalone,0,604,fishing/land/water
340,Solzão,SPECIES_WHISCASH,fire/ground,Caatinga de Arauana,caatinga,legendary,legendary,standalone,0,606,land/rock_smash
341,Ventania,SPECIES_CORPHISH,flying/dragon,Cerrado de Arauana,cerrado,legendary,legendary,standalone,0,602,land
342,Terraão,SPECIES_CRAWDAUNT,ground/rock,Chapadas de Arauana,chapadas,legendary,legendary,standalone,0,604,land/rock_smash
343,Fogaréu,SPECIES_BALTOY,fire/dragon,Serra de Arauana,highlands,legendary,legendary,standalone,0,606,land
344,Marulho,SPECIES_CLAYDOL,water/dragon,Litoral de Arauana,coast,legendary,legendary,standalone,0,603,fishing/land/water
345,Alvorecer,SPECIES_LILEEP,fairy/fire,Litoral de Arauana,coast,legendary,legendary,standalone,0,605,land
346,Poente,SPECIES_CRADILY,dark/fire,Litoral de Arauana,coast,legendary,legendary,standalone,0,607,land
347,Estrelinha,SPECIES_ANORITH,fairy/psychic,Serra de Arauana,highlands,mythical,mythical,standalone,0,648,land
348,Arauanamon,SPECIES_ARMALDO,dragon/fairy,Serra de Arauana,highlands,legendary,legendary,standalone,0,650,land
349,Aracuã,SPECIES_FEEBAS,flying/normal,Cerrado de Arauana,cerrado,wild,mid,standalone,0,449,land
350,Bugio,SPECIES_MILOTIC,normal/dark,Amazônia de Arauana,amazon,wild,mid,standalone,0,446,land
351,Tuim,SPECIES_CASTFORM,grass,Cerrado de Arauana,cerrado,wild,early,base,0,305,land
352,Periquitão,SPECIES_KECLEON,grass/flying,Cerrado de Arauana,cerrado,wild,early,middle,18,439,land
353,Ararunão,SPECIES_SHUPPET,grass/flying,Amazônia de Arauana,amazon,wild,late,final,34,598,land
354,Preazinho,SPECIES_BANETTE,normal,Pampas de Arauana,pampas,wild,early,base,0,328,land
355,Capivarão,SPECIES_DUSKULL,normal/water,Rios de Arauana,rivers,wild,mid,final,22,510,fishing/land/water
356,Tamanduí,SPECIES_DUSCLOPS,bug,Cerrado de Arauana,cerrado,wild,early,base,0,320,land
357,Tamanduá,SPECIES_TROPIUS,bug/ground,Cerrado de Arauana,cerrado,wild,early,middle,20,440,land/rock_smash
358,Tamanduão,SPECIES_CHIMECHO,bug/ground,Cerrado de Arauana,cerrado,wild,late,final,40,545,land/rock_smash
359,Preguicinha,SPECIES_ABSOL,grass,Amazônia de Arauana,amazon,wild,early,base,0,285,land
360,Preguiçoso,SPECIES_WYNAUT,grass/psychic,Amazônia de Arauana,amazon,wild,mid,final,25,520,land
361,Beija-Flor,SPECIES_SNORUNT,fairy/flying,Cerrado de Arauana,cerrado,wild,early,base,0,377,land
362,Beija-Luz,SPECIES_GLALIE,fairy/fire,Cerrado de Arauana,cerrado,wild,early,middle,20,482,land
363,Beija-Sol,SPECIES_SPHEAL,fairy/fire,Serra de Arauana,highlands,wild,late,final,40,610,land
364,Sarará,SPECIES_SEALEO,fairy/water,Litoral de Arauana,coast,wild,mid,standalone,0,472,fishing/land/water
365,Cambota,SPECIES_WALREIN,fighting/normal,Cidades de Arauana,urban,wild,mid,standalone,0,485,land
366,Berimbau,SPECIES_CLAMPERL,fairy/fighting,Cidades de Arauana,urban,wild,mid,standalone,0,505,land
367,Atabaque,SPECIES_HUNTAIL,fighting/ground,Cidades de Arauana,urban,wild,mid,standalone,0,495,land/rock_smash
368,Pandeirim,SPECIES_GOREBYSS,fairy/normal,Cidades de Arauana,urban,wild,mid,standalone,0,460,land
369,Sanfoninha,SPECIES_RELICANTH,normal/fairy,Sertão de Arauana,caatinga,wild,mid,standalone,0,510,land
370,Violeiro,SPECIES_LUVDISC,grass/fairy,Sertão de Arauana,caatinga,wild,late,standalone,0,523,land
371,Zabumba,SPECIES_BAGON,ground/fighting,Sertão de Arauana,caatinga,wild,mid,standalone,0,515,land/rock_smash
372,Cordelim,SPECIES_SHELGON,psychic/fairy,Sertão de Arauana,caatinga,wild,mid,standalone,0,485,land
373,Rendeira,SPECIES_SALAMENCE,fairy/bug,Litoral de Arauana,coast,wild,mid,standalone,0,515,land
374,Escamoso,SPECIES_BELDUM,water/dark,Rios de Arauana,rivers,wild,mid,standalone,0,498,fishing/land/water
375,Piranhita,SPECIES_METANG,water/dark,Rios de Arauana,rivers,wild,early,standalone,0,395,fishing/water
376,Boitatã,SPECIES_METAGROSS,fire/dragon,Cerrado de Arauana,cerrado,legendary,legendary,standalone,0,650,land
377,Piraruaçu,SPECIES_REGIROCK,water/dragon,Amazônia de Arauana,amazon,legendary,legendary,standalone,0,630,fishing/water
378,Mata-Mata,SPECIES_REGICE,grass/dragon,Amazônia de Arauana,amazon,legendary,legendary,standalone,0,640,land
379,Solaris,SPECIES_REGISTEEL,fire/psychic,Serra de Arauana,highlands,legendary,legendary,standalone,0,670,land
380,Selenê,SPECIES_LATIAS,dark/psychic,Serra de Arauana,highlands,legendary,legendary,standalone,0,670,land
381,Zumbi-Rei,SPECIES_LATIOS,fighting/dark,Cidades de Arauana,urban,legendary,legendary,standalone,0,655,land
382,Iemanjã,SPECIES_KYOGRE,water/fairy,Litoral de Arauana,coast,legendary,legendary,standalone,0,695,fishing/land/water
383,Oxumará,SPECIES_GROUDON,dragon/fairy,Litoral de Arauana,coast,legendary,legendary,standalone,0,695,land
384,Curupixel,SPECIES_RAYQUAZA,grass/fairy,Amazônia de Arauana,amazon,mythical,mythical,standalone,0,645,land
385,Sacinho,SPECIES_JIRACHI,dark/fairy,Cerrado de Arauana,cerrado,mythical,mythical,standalone,0,650,land
386,Arauá,SPECIES_DEOXYS,dragon/psychic,Serra de Arauana,highlands,mythical,mythical,standalone,0,720,land
